32,Jet Airways,18/5/2019,Delhi,Cochin,DEL → BOM → COK,7:05,,12:35,5h 30m,1 stop,In-flight meal not included,12373.0
33,IndiGo,27/6/2019,Delhi,Cochin,DEL → BOM → COK,10:35,,21:00,10h 25m,1 stop,No info,5894.0
34,SpiceJet,21/5/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,,20:20,5h 15m,1 stop,No info,4649.0
35,NaN,18/5/2019,Kolkata,Banglore,CCU → BLR,14:15,,16:45,2h 30m,non-stop,No info,6245.0
36,Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,7:00,,13:15,6h 15m,1 stop,No info,19225.0
37,Jet Airways,3/6/2019,Delhi,Cochin,DEL → BOM → COK,7:05,,19:00,11h 55m,1 stop,No info,14924.0
38,Multiple carriers,21/5/2019,Delhi,Cochin,DEL → HYD → COK,7:05,,18:10,11h 5m,1 stop,NaN,9646.0
39,Air India,15/3/2019,Banglore,New Delhi,BLR → BOM → DEL,6:45,,15:15,8h 30m,1 stop,No info,8714.0
40,Jet Airways,18/5/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00,19-พ.ค.,22h 5m,1 stop,In-flight meal not included,12373.0
41,Air Asia,NaN,Banglore,Delhi,BLR → DEL,11:10,,13:55,2h 45m,non-stop,No info,3383.0
42,Multiple carriers,21/3/2019,Delhi,Cochin,DEL → BOM → COK,9:00,,21:00,12h,1 stop,No info,13062.0
43,SpiceJet,24/3/2019,Banglore,NaN,BLR → DEL,5:45,,8:35,2h 50m,non-stop,No check-in baggage included,3527.0
44,IndiGo,27/5/2019,Banglore,Delhi,BLR → DEL,4:00,,6:50,2h 50m,non-stop,No info,3943.0
45,Air India,3/5/2019,Chennai,Kolkata,MAA → CCU,11:40,,13:55,2h 15m,non-stop,No info,4667.0
46,Air India,15/5/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05,16-พ.ค.,16h 5m,1 stop,No info,6117.0
47,Jet Airways,27/6/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,28-มิ.ย.,19h 55m,2 stops,In-flight meal not included,11150.0
48,Jet Airways,9/3/2019,Delhi,Cochin,DEL → COK,11:00,,14:15,3h 15m,non-stop,In-flight meal not included,7202.0
49,Jet Airways,1/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,10:55,2-พ.ค.,25h 20m,1 stop,No info,12121.0
50,IndiGo,24/3/2019,Banglore,New Delhi,BLR → DEL,22:20,1:10,28-มี.ค.,2h 50m,non-stop,No info,4377.0
51,IndiGo,18/6/2019,Banglore,Delhi,BLR → DEL,21:15,0:15,19-มิ.ย.,3h,non-stop,No info,3943.0
52,Air Asia,3/4/2019,Banglore,Delhi,BLR → DEL,23:55,2:45,4-เม.ย.,2h 50m,non-stop,No info,4483.0
53,Jet Airways,24/3/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00,25-มี.ค.,16h 15m,1 stop,No info,14231.0
54,Air India,1/3/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,8:50,,23:55,15h 5m,2 stops,No info,17345.0
55,Vistara,6/3/2019,Chennai,Kolkata,MAA → CCU,7:05,,9:20,2h 15m,non-stop,No info,7414.0
56,Multiple carriers,6/5/2019,Delhi,Cochin,DEL → BOM → COK,19:00,1:30,7-พ.ค.,6h 30m,1 stop,No info,8073.0
57,Vistara,6/3/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45,7-มี.ค.,25h 5m,1 stop,No info,12395.0
58,Air India,6/6/2019,Kolkata,Banglore,CCU → BOM → BLR,NaN,,21:50,12h 25m,1 stop,NaN,8366.0
59,Air India,3/4/2019,Delhi,Cochin,DEL → MAA → COK,6:05,9:25,4-เม.ย.,27h 20m,1 stop,No info,5117.0
60,Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,8:45,,19:00,10h 15m,1 stop,No info,NaN
61,IndiGo,15/5/2019,Delhi,Cochin,DEL → BOM → COK,15:00,1:30,16-พ.ค.,10h 30m,1 stop,No info,7191.0
62,Vistara,24/5/2019,Chennai,Kolkata,MAA → CCU,7:05,,9:20,2h 15m,non-stop,No info,3687.0
63,IndiGo,24/6/2019,Delhi,Cochin,DEL → BOM → COK,10:35,,21:00,10h 25m,1 stop,No info,5894.0
64,Vistara,24/4/2019,Banglore,Delhi,BLR → DEL,9:45,,12:35,2h 50m,non-stop,No info,5403.0
65,Air India,6/5/2019,Mumbai,Hyderabad,BOM → HYD,13:55,,15:25,1h 30m,non-stop,No info,3625.0
66,Air India,21/5/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,,19:15,13h 20m,2 stops,No info,10861.0
67,IndiGo,12/3/2019,Chennai,Kolkata,MAA → CCU,13:20,,15:35,2h 15m,NaN,No info,6297.0
68,Jet Airways,1/6/2019,Mumbai,Hyderabad,BOM → HYD,7:05,,8:30,1h 25m,non-stop,No info,5678.0
69,Jet Airways,9/3/2019,Banglore,New Delhi,BLR → BOM → DEL,5:45,8:15,13-มี.ค.,26h 30m,1 stop,In-flight meal not included,9134.0
70,Multiple carriers,24/6/2019,Delhi,Cochin,NaN,11:40,,19:00,7h 20m,1 stop,In-flight meal not included,10791.0
71,Jet Airways,24/6/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35,25-มิ.ย.,13h 30m,2 stops,No info,12819.0
72,NaN,21/3/2019,Delhi,Cochin,DEL → BLR → COK,5:05,,10:05,5h,1 stop,No info,6893.0
73,Vistara,9/3/2019,Banglore,New Delhi,BLR → DEL,9:50,,12:35,2h 45m,non-stop,No info,7240.0
74,NaN,3/4/2019,Banglore,Delhi,BLR → DEL,11:40,,14:30,2h 50m,non-stop,No info,3898.0
75,IndiGo,3/4/2019,Mumbai,Hyderabad,BOM → HYD,6:25,,7:55,1h 30m,non-stop,No info,4049.0
76,Jet Airways,15/6/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35,16-มิ.ย.,19h 5m,1 stop,In-flight meal not included,NaN
77,SpiceJet,21/3/2019,Chennai,Kolkata,MAA → CCU,8:20,,10:35,2h 15m,non-stop,No check-in baggage included,3332.0
78,Jet Airways,9/6/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00,10-มิ.ย.,14h 50m,1 stop,NaN,10844.0
79,Jet Airways,24/3/2019,Banglore,New Delhi,BLR → DEL,19:55,,22:35,2h 40m,non-stop,No info,7229.0
80,Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,4:40,7-พ.ค.,22h 10m,1 stop,No info,13941.0
81,IndiGo,27/6/2019,Delhi,Cochin,DEL → BOM → COK,11:25,,21:00,9h 35m,1 stop,No info,5894.0
82,Multiple carriers,18/5/2019,Delhi,Cochin,DEL → BOM → COK,9:00,,19:00,10h,1 stop,No info,10197.0
83,Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25,7-มี.ค.,21h 20m,1 stop,In-flight meal not included,13712.0
84,IndiGo,NaN,Delhi,Cochin,DEL → MAA → COK,2:00,,7:25,5h 25m,1 stop,No info,5636.0
85,Jet Airways,6/6/2019,Delhi,Cochin,DEL → JAI → BOM → COK,9:40,4:25,7-มิ.ย.,18h 45m,2 stops,No info,13014.0
86,Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,,20:45,NaN,1 stop,In-flight meal not included,7064.0
87,Jet Airways,24/5/2019,Kolkata,NaN,CCU → DEL → BLR,20:25,14:25,25-พ.ค.,18h,1 stop,In-flight meal not included,10703.0
88,Multiple carriers,27/5/2019,Delhi,Cochin,DEL → HYD → COK,13:15,,22:30,9h 15m,1 stop,No info,9646.0
89,Multiple carriers,6/3/2019,Delhi,Cochin,DEL → BOM → COK,2:15,,13:20,11h 5m,1 stop,No info,NaN
90,Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25,13-มี.ค.,17h 30m,1 stop,No info,13817.0
91,Air India,6/3/2019,Delhi,Cochin,DEL → BHO → BOM → COK,5:55,,19:15,13h 20m,2 stops,No info,13748.0
92,Air India,21/4/2019,Kolkata,Banglore,CCU → BLR,20:45,,23:20,2h 35m,non-stop,No info,4880.0
93,IndiGo,21/6/2019,Chennai,Kolkata,MAA → CCU,5:15,,7:40,2h 25m,non-stop,No info,3540.0
94,SpiceJet,15/5/2019,Banglore,Delhi,BLR → DEL,5:55,,8:35,2h 40m,non-stop,No check-in baggage included,3257.0
95,Jet Airways,3/6/2019,Banglore,Delhi,BLR → DEL,19:50,,22:50,3h,non-stop,In-flight meal not included,6478.0
96,Jet Airways,18/6/2019,Mumbai,Hyderabad,BOM → HYD,7:05,,8:30,1h 25m,non-stop,No info,8040.0
97,Jet Airways,12/6/2019,Delhi,Cochin,NaN,20:00,,NaN,16h 35m,2 stops,No info,14300.0
98,Jet Airways,15/5/2019,Kolkata,NaN,CCU → BOM → BLR,8:25,,20:45,12h 20m,1 stop,NaN,NaN
99,Jet Airways,9/6/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,8:15,10-มิ.ย.,12h 15m,1 stop,No info,NaN
10,0          Jet Airways,24/6/2019,Delhi,Cochin,DEL → BOM → COK,20:55,4:25,25-มิ.ย.,7h 30m,1 stop,In-flight meal not included,10262.0
10,1            Air India,12/5/2019,NaN,Banglore,CCU → MAA → BLR,14:35,14:35,13-พ.ค.,24h,1 stop,No info,6528.0
10,2            Air India,1/5/2019,Banglore,Delhi,BLR → DEL,6:10,,8:55,2h 45m,non-stop,No info,6121.0
10,3          Jet Airways,18/5/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,4:25,19-พ.ค.,8h 55m,2 stops,In-flight meal not included,13029.0
10,4    Multiple carriers,27/3/2019,Delhi,Cochin,DEL → BOM → COK,11:40,,18:50,7h 10m,1 stop,No info,11421.0
10,5    Multiple carriers,27/3/2019,Delhi,Cochin,DEL → BOM → COK,4:45,,19:15,14h 30m,1 stop,No info,7574.0
10,6            Air India,9/5/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15,10-พ.ค.,30h 20m,2 stops,No info,11596.0
10,7          Jet Airways,24/5/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,25-พ.ค.,19h 55m,2 stops,No info,15129.0
10,8          Jet Airways,18/3/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,5:05,16-มี.ค.,15h,1 stop,No info,13555.0
10,9                  NaN,12/4/2019,Banglore,Delhi,BLR → DEL,18:55,,21:50,2h 55m,non-stop,No info,5780.0
11,0              Vistara,12/5/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,9:05,13-พ.ค.,12h 45m,1 stop,No info,9397.0
11,1          Jet Airways,6/3/2019,Delhi,Cochin,DEL → BOM → COK,18:15,4:25,7-มี.ค.,10h 10m,1 stop,No info,17024.0
11,2                GoAir,27/6/2019,Delhi,Cochin,DEL → BOM → COK,7:00,,12:55,NaN,1 stop,No info,5281.0
11,3    Multiple carriers,18/5/2019,Delhi,Cochin,DEL → HYD → COK,7:05,,22:30,15h 25m,1 stop,No info,10348.0
11,4            Air India,6/3/2019,Delhi,Cochin,DEL → MAA → COK,17:20,9:25,7-มี.ค.,16h 5m,1 stop,No info,12677.0
11,5    Multiple carriers,3/3/2019,Delhi,Cochin,DEL → BOM → COK,15:25,1:35,4-มี.ค.,10h 10m,1 stop,No info,15147.0
11,6              Vistara,12/6/2019,Banglore,Delhi,BLR → DEL,7:00,,9:40,2h 40m,non-stop,No info,4668.0
11,7          Jet Airways,9/5/2019,Delhi,Cochin,DEL → BOM → COK,7:05,,19:00,11h 55m,1 stop,No info,15554.0
11,8             SpiceJet,9/4/2019,Banglore,Delhi,BLR → DEL,NaN,,8:35,2h 40m,non-stop,NaN,3971.0
11,9            Air India,3/5/2019,Mumbai,Hyderabad,BOM → HYD,15:00,,NaN,1h 25m,non-stop,No info,3100.0
12,0          Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05,7-พ.ค.,14h 5m,1 stop,In-flight meal not included,9663.0
12,1            Air India,1/3/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15,2-มี.ค.,20h 15m,1 stop,No info,NaN
12,2               IndiGo,12/5/2019,Chennai,Kolkata,MAA → CCU,5:15,,7:40,2h 25m,non-stop,No info,3540.0
12,3            Air India,21/5/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10,22-พ.ค.,23h 10m,2 stops,No info,10676.0
12,4          Jet Airways,12/6/2019,NaN,Banglore,CCU → BOM → BLR,14:05,8:15,13-มิ.ย.,18h 10m,1 stop,No info,13044.0
12,5          Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00,7-พ.ค.,16h,1 stop,No info,14388.0
12,6               IndiGo,24/6/2019,Banglore,Delhi,BLR → DEL,4:00,,6:50,2h 50m,non-stop,No info,3943.0
12,7               IndiGo,NaN,Chennai,Kolkata,MAA → CCU,14:45,,17:05,2h 20m,non-stop,No info,3597.0
12,8            Air India,21/3/2019,Banglore,New Delhi,BLR → MAA → DEL,NaN,,19:50,8h,1 stop,No info,5932.0
12,9          Jet Airways,15/6/2019,Delhi,Cochin,DEL → BOM → COK,11:30,4:25,16-มิ.ย.,16h 55m,1 stop,In-flight meal not included,10262.0
13,0              Vistara,12/5/2019,Delhi,Cochin,DEL → COK,14:40,,17:50,3h 10m,non-stop,No info,6216.0
13,1               IndiGo,15/6/2019,Kolkata,NaN,CCU → BLR,20:25,,23:10,2h 45m,non-stop,No info,4804.0
13,2    Multiple carriers,21/5/2019,Delhi,Cochin,DEL → BOM → COK,11:30,1:30,22-พ.ค.,14h,1 stop,No info,14067.0
13,3          Jet Airways,18/5/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00,19-พ.ค.,23h 50m,2 stops,No info,15129.0
13,4          Jet Airways,6/6/2019,Delhi,Cochin,DEL → NAG → BOM → COK,6:45,4:25,7-มิ.ย.,21h 40m,2 stops,No info,13376.0
13,5            Air India,NaN,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,28-มิ.ย.,21h 15m,2 stops,No info,10441.0
13,6          Jet Airways,24/5/2019,Banglore,Delhi,BLR → DEL,6:00,,8:45,2h 45m,NaN,In-flight meal not included,4030.0
13,7          Jet Airways,3/3/2019,Delhi,Cochin,DEL → BOM → COK,8:00,,18:50,10h 50m,1 stop,No info,17024.0
13,8    Multiple carriers,9/4/2019,Delhi,Cochin,DEL → BOM → COK,17:30,1:30,10-เม.ย.,8h,1 stop,NaN,13017.0
13,9                GoAir,6/6/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,7:45,7-มิ.ย.,8h 15m,1 stop,No info,6686.0
14,0               IndiGo,15/6/2019,Delhi,Cochin,DEL → MAA → COK,2:00,,7:25,5h 25m,1 stop,No info,5636.0
14,1               IndiGo,9/6/2019,Delhi,Cochin,NaN,7:35,,16:10,8h 35m,1 stop,No info,6442.0
14,2    Multiple carriers,21/5/2019,Delhi,Cochin,DEL → HYD → COK,13:05,0:55,22-พ.ค.,11h 50m,1 stop,No info,9486.0
14,3          Jet Airways,21/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35,22-พ.ค.,27h 35m,1 stop,In-flight meal not included,10844.0
14,4          Jet Airways,3/6/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,4:25,4-มิ.ย.,8h 25m,2 stops,In-flight meal not included,15318.0
14,5            Air India,3/4/2019,Delhi,Cochin,DEL → MAA → COK,12:30,9:25,4-เม.ย.,20h 55m,1 stop,No info,5117.0
14,6                  NaN,24/6/2019,Delhi,Cochin,DEL → BLR → COK,15:10,,20:00,4h 50m,1 stop,No info,6147.0
14,7    Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,12:50,,21:00,8h 10m,1 stop,No info,7005.0
14,8             SpiceJet,3/4/2019,Kolkata,Banglore,CCU → BLR,22:20,0:40,4-เม.ย.,2h 20m,non-stop,No info,3873.0
14,9                  NaN,21/3/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50,22-มี.ค.,24h 25m,2 stops,In-flight meal not included,9270.0
15,0                GoAir,27/6/2019,Banglore,Delhi,BLR → DEL,11:40,,14:30,2h 50m,non-stop,No info,3898.0
15,1          Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,,20:45,12h 20m,1 stop,No info,14781.0
15,2          Jet Airways,24/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,8:15,25-พ.ค.,12h 15m,1 stop,In-flight meal not included,8586.0
15,3            Air India,9/5/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,8:20,7:55,10-พ.ค.,23h 35m,2 stops,No info,10697.0
15,4          Jet Airways,27/6/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35,28-มิ.ย.,16h 35m,2 stops,No info,NaN
15,5               IndiGo,3/3/2019,Banglore,New Delhi,BLR → DEL,18:55,,21:45,2h 50m,non-stop,No info,8855.0
15,6          Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15,13-พ.ค.,25h 45m,1 stop,In-flight meal not included,10844.0
15,7          Jet Airways,6/3/2019,Delhi,Cochin,DEL → BOM → COK,2:15,4:25,7-มี.ค.,26h 10m,1 stop,No info,17024.0
15,8          Jet Airways,1/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,14:25,2-พ.ค.,28h 50m,1 stop,NaN,9314.0
15,9               IndiGo,24/3/2019,Banglore,New Delhi,BLR → DEL,0:40,,3:25,2h 45m,non-stop,No info,4777.0
16,0            Air India,9/6/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15,10-มิ.ย.,25h 15m,1 stop,No info,7662.0
16,1               IndiGo,9/5/2019,Delhi,Cochin,DEL → HYD → COK,6:50,,16:10,9h 20m,1 stop,No info,6442.0
16,2             SpiceJet,12/6/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,,13:15,4h 30m,1 stop,No info,5264.0
16,3          Jet Airways,27/5/2019,Delhi,Cochin,DEL → BOM → COK,13:00,4:25,28-พ.ค.,15h 25m,1 stop,In-flight meal not included,12898.0
16,4            Air India,3/3/2019,Mumbai,Hyderabad,BOM → HYD,13:55,,15:25,1h 30m,non-stop,No info,6092.0
16,5             SpiceJet,21/5/2019,Banglore,Delhi,BLR → DEL,5:55,,8:35,2h 40m,non-stop,No info,3311.0
16,6          Jet Airways,27/3/2019,Delhi,Cochin,DEL → BOM → COK,19:15,4:25,28-มี.ค.,9h 10m,1 stop,In-flight meal not included,6540.0
16,7               IndiGo,27/5/2019,Banglore,Delhi,BLR → DEL,1:30,,4:15,2h 45m,non-stop,No info,3419.0
16,8          Jet Airways,3/4/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35,4-เม.ย.,22h 35m,1 stop,In-flight meal not included,5177.0
16,9            Air India,18/4/2019,Delhi,Cochin,DEL → COK,18:05,,21:10,3h 5m,non-stop,No info,8246.0
17,0          Jet Airways,NaN,Kolkata,Banglore,CCU → DEL → BLR,9:35,,21:05,11h 30m,1 stop,No info,14676.0
17,1    Multiple carriers,27/6/2019,Delhi,Cochin,DEL → BOM → COK,11:30,,21:00,9h 30m,1 stop,No info,13587.0
17,2          Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,9:20,7-พ.ค.,12h 10m,1 stop,In-flight meal not included,9663.0
17,3          Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05,13-มิ.ย.,NaN,1 stop,No info,13044.0
17,4               IndiGo,3/4/2019,Delhi,Cochin,DEL → BOM → COK,20:25,1:30,4-เม.ย.,5h 5m,1 stop,No info,5073.0
17,5              Vistara,21/5/2019,Kolkata,NaN,CCU → DEL → BLR,17:00,18:50,22-พ.ค.,25h 50m,1 stop,No info,9345.0
17,6          Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05,7-พ.ค.,20h,1 stop,In-flight meal not included,9663.0
17,7    Multiple carriers,21/5/2019,Delhi,Cochin,DEL → BOM → COK,8:00,,21:00,13h,1 stop,No info,14277.0
17,8          Jet Airways,1/6/2019,Delhi,Cochin,DEL → BOM → COK,NaN,4:25,2-มิ.ย.,18h 25m,1 stop,NaN,10262.0
17,9          Jet Airways,27/3/2019,Mumbai,Hyderabad,BOM → HYD,19:35,,21:05,1h 30m,non-stop,No info,NaN
18,0    Multiple carriers,15/5/2019,Delhi,Cochin,DEL → BOM → COK,16:00,1:30,16-พ.ค.,9h 30m,1 stop,No info,13727.0
18,1          Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00,7-พ.ค.,16h,1 stop,In-flight meal not included,9663.0
18,2               IndiGo,12/5/2019,Chennai,Kolkata,MAA → CCU,14:45,,17:05,2h 20m,NaN,No info,NaN
18,3                  NaN,24/6/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,,13:15,4h 30m,1 stop,No info,4812.0
18,4               IndiGo,27/6/2019,Delhi,Cochin,DEL → LKO → COK,21:50,3:35,28-มิ.ย.,5h 45m,1 stop,No info,5775.0
18,5          Jet Airways,6/6/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,9:45,7-มิ.ย.,24h 10m,1 stop,In-flight meal not included,10539.0
18,6               IndiGo,3/6/2019,Kolkata,Banglore,CCU → BLR,15:30,,18:05,2h 35m,non-stop,No info,4804.0
18,7             Air Asia,12/6/2019,Banglore,Delhi,BLR → DEL,11:10,,13:55,2h 45m,non-stop,No info,3383.0
18,8               IndiGo,3/3/2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,,17:05,4h 55m,1 stop,No info,8738.0
18,9            Air India,27/3/2019,Delhi,Cochin,DEL → TRV → COK,5:15,6:50,28-มี.ค.,25h 35m,1 stop,No info,7165.0
19,0               IndiGo,24/6/2019,Delhi,Cochin,DEL → HYD → COK,16:10,,22:30,6h 20m,1 stop,No info,6412.0
19,1          Jet Airways,27/6/2019,Banglore,Delhi,BLR → DEL,18:55,,22:00,3h 5m,non-stop,No info,8016.0
19,2          Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,15:15,13-มี.ค.,18h 40m,1 stop,In-flight meal not included,11087.0
19,3             SpiceJet,27/6/2019,Chennai,Kolkata,MAA → CCU,9:45,,12:00,2h 15m,non-stop,NaN,3543.0
19,4          Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,4:40,13-มิ.ย.,12h 10m,1 stop,No info,12471.0
19,5          Jet Airways,24/6/2019,Delhi,Cochin,DEL → BOM → COK,9:00,,NaN,19h 25m,1 stop,In-flight meal not included,10262.0
19,6            Air India,18/3/2019,Banglore,New Delhi,NaN,13:20,,16:10,2h 50m,non-stop,No info,4441.0
19,7    Multiple carriers,27/3/2019,Delhi,Cochin,DEL → BOM → COK,7:05,,15:30,8h 25m,1 stop,No info,NaN
19,8                GoAir,24/3/2019,Kolkata,NaN,CCU → BOM → BLR,22:25,7:40,25-มี.ค.,9h 15m,1 stop,NaN,10091.0
19,9            Air India,3/6/2019,Banglore,Delhi,BLR → DEL,21:05,,23:55,2h 50m,non-stop,No info,NaN
